preprocess,embedding,oversampling,model,run,accuracy,precision,recall,f1,TP,FP,TN,FN,param
none,gpt,True,K_Nearest_Neighbors,2,0.6119,0.2764,0.8608,0.4185,68,178,230,11,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,bert,True,Decision_Tree,2,0.7659,0.3504,0.519,0.4184,41,76,332,38,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,bert,True,K_Nearest_Neighbors,2,0.6345,0.276,0.7722,0.4067,61,160,248,18,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,bert,True,Naive_Bayes,2,0.5893,0.2609,0.8354,0.3976,66,187,221,13,{'var_smoothing': 0.1}
all,tfidf,False,Naive_Bayes,2,0.6941,0.2917,0.6203,0.3968,49,119,289,30,{'var_smoothing': 0.001}
none,llama,True,Decision_Tree,2,0.768,0.3396,0.4557,0.3892,36,70,338,43,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
all,tfidf,True,SVC,2,0.8624,0.7,0.2658,0.3853,21,9,399,58,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,llama,True,Naive_Bayes,2,0.6242,0.257,0.6962,0.3754,55,159,249,24,{'var_smoothing': 0.0001}
none,llama,False,Naive_Bayes,2,0.5934,0.2468,0.7342,0.3694,58,177,231,21,{'var_smoothing': 1e-11}
none,bert,False,Naive_Bayes,2,0.6386,0.2538,0.6329,0.3623,50,147,261,29,{'var_smoothing': 0.0001}
none,bert,False,Random_Forest,2,0.8398,0.5122,0.2658,0.35,21,20,388,58,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,tfidf,False,K_Nearest_Neighbors,2,0.8419,0.5263,0.2532,0.3419,20,18,390,59,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
none,bert,False,K_Nearest_Neighbors,2,0.7988,0.3582,0.3038,0.3288,24,43,365,55,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}"
none,gpt,False,Random_Forest,2,0.8624,0.9286,0.1646,0.2796,13,1,407,66,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
all,tfidf,True,Naive_Bayes,2,0.5421,0.1757,0.4937,0.2591,39,183,225,40,{'var_smoothing': 0.0001}
none,tfidf,True,Naive_Bayes,2,0.614,0.1572,0.3165,0.2101,25,134,274,54,{'var_smoothing': 0.0001}
none,tfidf,True,K_Nearest_Neighbors,2,0.8378,0.5,0.1139,0.1856,9,9,399,70,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,True,K_Nearest_Neighbors,2,0.8439,0.6364,0.0886,0.1556,7,4,404,72,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,False,K_Nearest_Neighbors,2,0.8439,0.8,0.0506,0.0952,4,1,407,75,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,SVC,3,0.8891,0.6289,0.7722,0.6932,61,36,372,18,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,tfidf,False,Random_Forest,3,0.8953,0.7,0.6203,0.6577,49,21,387,30,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,gpt,True,SVC,3,0.8953,0.7188,0.5823,0.6434,46,18,390,33,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,llama,True,SVC,3,0.8809,0.6296,0.6456,0.6375,51,30,378,28,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
all,tfidf,False,Random_Forest,3,0.8747,0.6047,0.6582,0.6303,52,34,374,27,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,gpt,False,Logistic_Regression,3,0.8604,0.5579,0.6709,0.6092,53,42,366,26,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,llama,True,Random_Forest,3,0.8809,0.6567,0.557,0.6027,44,23,385,35,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,False,SVC,3,0.8419,0.5088,0.7342,0.601,58,56,352,21,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,llama,False,Logistic_Regression,3,0.846,0.5189,0.6962,0.5946,55,51,357,24,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,gpt,True,Logistic_Regression,3,0.8563,0.5484,0.6456,0.593,51,42,366,28,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,True,Decision_Tree,3,0.8583,0.5568,0.6203,0.5868,49,39,369,30,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,bert,False,Logistic_Regression,3,0.8193,0.464,0.7342,0.5686,58,67,341,21,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
none,bert,True,Random_Forest,3,0.8624,0.579,0.557,0.5677,44,32,376,35,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,False,Decision_Tree,3,0.8563,0.5556,0.5696,0.5625,45,36,372,34,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,llama,True,Logistic_Regression,3,0.8439,0.5161,0.6076,0.5581,48,45,363,31,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,True,Random_Forest,3,0.8809,0.7059,0.4557,0.5539,36,15,393,43,"{'class_weight': None, 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,False,Decision_Tree,3,0.8563,0.5584,0.5443,0.5513,43,34,374,36,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,bert,True,SVC,3,0.7803,0.4114,0.8228,0.5485,65,93,315,14,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,bert,True,Logistic_Regression,3,0.8275,0.4766,0.6456,0.5484,51,56,352,28,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
all,tfidf,True,Decision_Tree,3,0.8542,0.5513,0.5443,0.5478,43,35,373,36,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,tfidf,False,Logistic_Regression,3,0.7926,0.4236,0.7722,0.5471,61,83,325,18,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
none,llama,False,K_Nearest_Neighbors,3,0.8706,0.6429,0.4557,0.5333,36,20,388,43,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}"
none,bert,False,SVC,3,0.77,0.3975,0.8101,0.5333,64,97,311,15,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'poly'}"
all,tfidf,False,Logistic_Regression,3,0.7762,0.3987,0.7468,0.5198,59,89,319,20,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,tfidf,False,SVC,3,0.7823,0.4043,0.7215,0.5182,57,84,324,22,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,llama,True,K_Nearest_Neighbors,3,0.7207,0.3596,0.9241,0.5177,73,130,278,6,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,Naive_Bayes,3,0.7228,0.3557,0.8734,0.5055,69,125,283,10,{'var_smoothing': 1e-11}
all,tfidf,False,SVC,3,0.7474,0.3625,0.7342,0.4854,58,102,306,21,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,bert,False,Decision_Tree,3,0.7105,0.3385,0.8228,0.4797,65,127,281,14,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,llama,False,Random_Forest,3,0.8747,0.7368,0.3544,0.4786,28,10,398,51,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,bert,True,K_Nearest_Neighbors,3,0.6858,0.3238,0.8608,0.4706,68,142,266,11,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,True,K_Nearest_Neighbors,3,0.6756,0.3196,0.8861,0.4698,70,149,259,9,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,True,Random_Forest,3,0.8686,0.6829,0.3544,0.4667,28,13,395,51,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,False,Naive_Bayes,3,0.7023,0.3281,0.7975,0.4649,63,129,279,16,{'var_smoothing': 0.1}
none,tfidf,True,Random_Forest,3,0.8665,0.6667,0.3544,0.4628,28,14,394,51,"{'class_weight': None, 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,False,Decision_Tree,3,0.8296,0.4722,0.4304,0.4503,34,38,370,45,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,gpt,False,K_Nearest_Neighbors,3,0.8316,0.4783,0.4177,0.446,33,36,372,46,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,False,Naive_Bayes,3,0.6407,0.2966,0.8861,0.4444,70,166,242,9,{'var_smoothing': 0.1}
none,gpt,True,Naive_Bayes,3,0.729,0.3312,0.6582,0.4407,52,105,303,27,{'var_smoothing': 0.01}
none,bert,True,Decision_Tree,3,0.77,0.3636,0.557,0.44,44,77,331,35,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,llama,False,Naive_Bayes,3,0.653,0.2973,0.8354,0.4385,66,156,252,13,{'var_smoothing': 1e-11}
none,bert,True,Naive_Bayes,3,0.6427,0.2926,0.8481,0.4351,67,162,246,12,{'var_smoothing': 0.1}
all,tfidf,False,Naive_Bayes,3,0.6961,0.3073,0.6962,0.4264,55,124,284,24,{'var_smoothing': 0.001}
none,tfidf,True,Logistic_Regression,3,0.8357,0.4912,0.3544,0.4118,28,29,379,51,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'newton-cg'}"
all,tfidf,True,Logistic_Regression,3,0.8214,0.4412,0.3798,0.4082,30,38,370,49,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}"
none,llama,True,Naive_Bayes,3,0.5914,0.2638,0.8481,0.4024,67,187,221,12,{'var_smoothing': 0.01}
none,llama,True,Decision_Tree,3,0.7659,0.3395,0.4684,0.3936,37,72,336,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}"
none,gpt,False,Decision_Tree,3,0.6345,0.2654,0.7089,0.3862,56,155,253,23,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}"
none,tfidf,True,SVC,3,0.8398,0.5106,0.3038,0.381,24,23,385,55,"{'C': 1.0, 'class_weight': None, 'kernel': 'poly'}"
none,bert,False,K_Nearest_Neighbors,3,0.8029,0.3867,0.3671,0.3766,29,46,362,50,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
none,bert,False,Random_Forest,3,0.8501,0.579,0.2785,0.3761,22,16,392,57,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
all,tfidf,True,SVC,3,0.8563,0.6667,0.2279,0.3396,18,9,399,61,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,tfidf,False,K_Nearest_Neighbors,3,0.8419,0.5294,0.2279,0.3186,18,16,392,61,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}"
none,gpt,True,Decision_Tree,3,0.7741,0.3086,0.3165,0.3125,25,56,352,54,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,tfidf,True,Naive_Bayes,3,0.6489,0.2051,0.4051,0.2723,32,124,284,47,{'var_smoothing': 0.0001}
all,tfidf,True,Naive_Bayes,3,0.5483,0.181,0.5063,0.2667,40,181,227,39,{'var_smoothing': 0.0001}
all,tfidf,True,K_Nearest_Neighbors,3,0.8357,0.4667,0.0886,0.1489,7,8,400,72,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,True,K_Nearest_Neighbors,3,0.8296,0.3889,0.0886,0.1443,7,11,397,72,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,Random_Forest,3,0.8398,0.6,0.038,0.0714,3,2,406,76,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
all,tfidf,False,K_Nearest_Neighbors,3,0.8357,0.4286,0.038,0.0698,3,4,404,76,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,SVC,4,0.8891,0.6506,0.6835,0.6667,54,29,379,25,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,gpt,False,Logistic_Regression,4,0.8809,0.6083,0.7468,0.6705,59,38,370,20,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,llama,False,K_Nearest_Neighbors,4,0.9076,0.8036,0.5696,0.6667,45,11,397,34,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
none,llama,False,SVC,4,0.8994,0.7206,0.6203,0.6667,49,19,389,30,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,llama,False,Logistic_Regression,4,0.885,0.6322,0.6962,0.6627,55,32,376,24,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,gpt,True,SVC,4,0.9076,0.8696,0.5063,0.64,40,6,402,39,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,llama,True,SVC,4,0.8891,0.6866,0.5823,0.6301,46,21,387,33,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,gpt,True,Logistic_Regression,4,0.885,0.6667,0.5823,0.6216,46,23,385,33,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'sag'}"
none,llama,True,Logistic_Regression,4,0.8789,0.6471,0.557,0.5986,44,24,384,35,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,False,Random_Forest,4,0.8645,0.5844,0.5696,0.5769,45,32,376,34,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,llama,True,Random_Forest,4,0.883,0.72,0.4557,0.5581,36,14,394,43,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,False,Random_Forest,4,0.8789,0.6852,0.4684,0.5564,37,17,391,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,bert,True,SVC,4,0.8029,0.438,0.7595,0.5556,60,77,331,19,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,bert,False,Logistic_Regression,4,0.8152,0.4538,0.6835,0.5455,54,65,343,25,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,True,Random_Forest,4,0.8891,0.8378,0.3924,0.5345,31,6,402,48,"{'class_weight': None, 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,False,SVC,4,0.7721,0.3933,0.7468,0.5153,59,91,317,20,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'poly'}"
all,tfidf,False,Logistic_Regression,4,0.7947,0.4173,0.6709,0.5146,53,74,334,26,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,tfidf,False,Decision_Tree,4,0.8357,0.494,0.519,0.5062,41,42,366,38,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,tfidf,False,Logistic_Regression,4,0.7823,0.397,0.6582,0.4952,52,79,329,27,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,False,SVC,4,0.7618,0.3758,0.7089,0.4912,56,93,315,23,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,llama,False,Random_Forest,4,0.885,0.871,0.3418,0.4909,27,4,404,52,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 1000}"
none,bert,True,Logistic_Regression,4,0.8008,0.4167,0.5696,0.4813,45,63,345,34,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,True,Decision_Tree,4,0.8481,0.5397,0.4304,0.4789,34,29,379,45,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
all,tfidf,False,Decision_Tree,4,0.8316,0.4805,0.4684,0.4744,37,40,368,42,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,gpt,True,Random_Forest,4,0.8747,0.7647,0.3291,0.4602,26,8,400,53,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,False,SVC,4,0.7639,0.3657,0.6203,0.4601,49,85,323,30,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,gpt,False,K_Nearest_Neighbors,4,0.8501,0.5536,0.3924,0.4593,31,25,383,48,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,True,Decision_Tree,4,0.7803,0.3814,0.5696,0.4569,45,73,335,34,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,gpt,False,Naive_Bayes,4,0.7023,0.3226,0.7595,0.4528,60,126,282,19,{'var_smoothing': 1e-11}
none,gpt,True,K_Nearest_Neighbors,4,0.6489,0.3017,0.8861,0.4502,70,162,246,9,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,True,Decision_Tree,4,0.8234,0.4546,0.443,0.4487,35,42,366,44,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,tfidf,False,Naive_Bayes,4,0.6468,0.3004,0.8861,0.4487,70,163,245,9,{'var_smoothing': 0.1}
none,bert,True,Random_Forest,4,0.8316,0.4783,0.4177,0.446,33,36,372,46,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,True,Random_Forest,4,0.8727,0.7742,0.3038,0.4364,24,7,401,55,"{'class_weight': None, 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,True,K_Nearest_Neighbors,4,0.6448,0.292,0.8354,0.4328,66,160,248,13,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,bert,True,K_Nearest_Neighbors,4,0.6735,0.298,0.7468,0.426,59,139,269,20,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,False,Naive_Bayes,4,0.7125,0.3129,0.6456,0.4215,51,112,296,28,{'var_smoothing': 0.001}
none,tfidf,True,Logistic_Regression,4,0.8296,0.4688,0.3798,0.4196,30,34,374,49,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'sag'}"
all,tfidf,True,Logistic_Regression,4,0.8316,0.4754,0.3671,0.4143,29,32,376,50,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,llama,False,Decision_Tree,4,0.8049,0.4,0.4051,0.4025,32,48,360,47,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,bert,False,Decision_Tree,4,0.6735,0.2826,0.6582,0.3954,52,132,276,27,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,bert,True,Naive_Bayes,4,0.6201,0.2655,0.7595,0.3934,60,166,242,19,{'var_smoothing': 0.1}
none,gpt,True,Naive_Bayes,4,0.7125,0.298,0.5696,0.3913,45,106,302,34,{'var_smoothing': 0.01}
none,llama,False,Naive_Bayes,4,0.6324,0.2642,0.7089,0.3849,56,156,252,23,{'var_smoothing': 1e-11}
none,bert,False,Naive_Bayes,4,0.6715,0.2737,0.6203,0.3798,49,130,278,30,{'var_smoothing': 0.001}
none,llama,True,Naive_Bayes,4,0.6694,0.2722,0.6203,0.3784,49,131,277,30,{'var_smoothing': 1e-11}
none,bert,True,Decision_Tree,4,0.7515,0.3158,0.4557,0.3731,36,78,330,43,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,bert,False,Random_Forest,4,0.8542,0.625,0.2532,0.3604,20,12,396,59,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 1000}"
none,gpt,False,Decision_Tree,4,0.655,0.2541,0.5823,0.3539,46,135,273,33,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}"
all,tfidf,True,SVC,4,0.8624,0.75,0.2279,0.3495,18,6,402,61,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,gpt,True,Decision_Tree,4,0.7598,0.31,0.3924,0.3464,31,69,339,48,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,tfidf,True,SVC,4,0.8378,0.5,0.2405,0.3248,19,19,389,60,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'poly'}"
all,tfidf,True,Naive_Bayes,4,0.5688,0.2089,0.5949,0.3092,47,178,230,32,{'var_smoothing': 0.0001}
none,tfidf,False,K_Nearest_Neighbors,4,0.8419,0.5313,0.2152,0.3063,17,15,393,62,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}"
none,tfidf,True,Naive_Bayes,4,0.6283,0.2,0.4304,0.2731,34,136,272,45,{'var_smoothing': 0.0001}
none,bert,False,K_Nearest_Neighbors,4,0.7988,0.3273,0.2279,0.2687,18,37,371,61,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}"
none,tfidf,True,K_Nearest_Neighbors,4,0.8378,0.5,0.1266,0.202,10,10,398,69,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,True,K_Nearest_Neighbors,4,0.8378,0.5,0.076,0.1319,6,6,402,73,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,Random_Forest,4,0.8481,1,0.0633,0.1191,5,0,408,74,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 4, 'n_estimators': 100}"
all,tfidf,False,K_Nearest_Neighbors,4,0.8378,0.5,0.0253,0.0482,2,2,406,77,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}"
none,gpt,False,SVC,5,0.8912,0.6806,0.6203,0.649,49,23,385,30,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,gpt,True,SVC,5,0.8994,0.75,0.5696,0.6475,45,15,393,34,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,gpt,False,Logistic_Regression,5,0.8522,0.5321,0.7342,0.617,58,51,357,21,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,llama,False,SVC,5,0.8727,0.6104,0.5949,0.6026,47,30,378,32,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'rbf'}"
all,tfidf,False,Random_Forest,5,0.8583,0.5532,0.6582,0.6012,52,42,366,27,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,llama,False,Logistic_Regression,5,0.8645,0.5803,0.5949,0.5875,47,34,374,32,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'sag'}"
none,gpt,True,Logistic_Regression,5,0.8604,0.5647,0.6076,0.5854,48,37,371,31,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,False,Random_Forest,5,0.8706,0.6143,0.5443,0.5772,43,27,381,36,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 2, 'n_estimators': 1000}"
all,tfidf,False,Decision_Tree,5,0.8419,0.5098,0.6582,0.5746,52,50,358,27,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,llama,True,SVC,5,0.8686,0.6056,0.5443,0.5733,43,28,380,36,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,tfidf,True,Decision_Tree,5,0.8439,0.5152,0.6456,0.573,51,48,360,28,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
all,tfidf,True,Random_Forest,5,0.8686,0.6154,0.5063,0.5556,40,25,383,39,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,False,K_Nearest_Neighbors,5,0.8768,0.6727,0.4684,0.5522,37,18,390,42,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
all,tfidf,True,Decision_Tree,5,0.8234,0.4667,0.6203,0.5326,49,56,352,30,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,bert,True,SVC,5,0.768,0.3951,0.8101,0.5311,64,98,310,15,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,bert,False,SVC,5,0.7515,0.382,0.8608,0.5292,68,110,298,11,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,bert,False,Logistic_Regression,5,0.7639,0.3889,0.7975,0.5228,63,99,309,16,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,False,Decision_Tree,5,0.8275,0.4737,0.5696,0.5172,45,50,358,34,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,llama,True,Random_Forest,5,0.8645,0.614,0.443,0.5147,35,22,386,44,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,False,Logistic_Regression,5,0.7741,0.3931,0.7215,0.5089,57,88,320,22,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,bert,True,Logistic_Regression,5,0.8173,0.451,0.5823,0.5083,46,56,352,33,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,False,SVC,5,0.77,0.3878,0.7215,0.5044,57,90,318,22,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,llama,True,Logistic_Regression,5,0.8522,0.5539,0.4557,0.5,36,29,379,43,"{'C': 100, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,False,Logistic_Regression,5,0.7454,0.3548,0.6962,0.4701,55,100,308,24,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,tfidf,True,Logistic_Regression,5,0.8193,0.4483,0.4937,0.4699,39,48,360,40,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'sag'}"
